GID	control_0h	experimental_1h	experimental_2h	experimental_4h	control_1h	control_2h	control_4h	experimental_0h
Cre01.g002350	10.735	18.0443	17.6337	11.7556	16.6718	21.1728	10.0424	10.4393
Cre01.g002400	16.0016	21.7966	14.1154	18.7573	36.8586	17.8686	24.1278	30.2187
Cre01.g002500	352.167	642.954	619.148	307.694	598.109	634.019	386.599	708.601
Cre01.g002550	3.10481	10.2299	8.25692	2.57561	10.1223	8.495	2.81231	11.6628
Cre01.g002600	0.0459971	0.046563	0.0183142	0.0208597	0.0804656	0.00520653	0.0311524	0.0760862
Cre01.g002650	0	0.00473996	0	0.00522472	0	0.00581942	0	0
Cre01.g002700	0.952562	1.68813	1.65456	1.17443	1.72416	1.91161	0.921567	1.78458
Cre01.g002750	0.426487	1.44052	1.31413	0.585569	1.40676	1.07287	0.478376	2.33943
Cre01.g002787	0.73921	1.22108	1.39711	0.723113	0.903164	0.8353	0.636682	1.31421
Cre01.g002900	41.5913	126.687	39.6629	43.3381	94.0628	34.6103	20.6579	78.9521
Cre01.g002950	6.73637	5.43284	6.17886	6.70077	5.86962	6.67455	5.65007	5.33564
Cre01.g003000	1.30443	0.811398	0.689331	1.55835	0.93942	0.648043	0.715499	0.543014
Cre01.g003050	0.914786	0.793106	0.877602	1.08374	0.880621	0.816682	0.830446	0.869729
Cre01.g003100	0.230121	0.256834	0.170369	0.250874	0.200566	0.168905	0.0563337	0.169682
Cre01.g003150	5.92331	4.93067	5.44491	6.26568	5.14094	6.14985	6.0566	3.52799
Cre01.g003200	4.96965	5.19507	4.40049	4.07292	5.51182	4.13037	3.40985	6.64623
Cre01.g003250	0	0	0	0	0	0	0	0
Cre01.g003300	0.00452332	0.00810881	0.0524876	0.0043063	0	0.00520785	0	0
Cre01.g003376	12.8489	5.73107	11.217	11.5966	6.89171	11.5575	11.4011	4.41997
Cre01.g003450	3.91306	2.48787	3.26258	3.39426	2.40895	3.28043	3.3701	2.40831
Cre01.g003463	7.71977	8.05545	7.72368	7.19146	4.7603	6.80403	5.02833	4.27492
Cre01.g003475	0.202552	0.20129	0.131203	0.251313	0.225419	0.0925049	4.70465	0.188502
Cre01.g003487	5.98224	4.81527	4.59344	5.41679	4.27619	4.55796	5.03033	4.04078
Cre01.g003500	0.793496	0.759726	0.832806	0.858315	0.890589	0.901259	0.833263	0.780287
Cre01.g003516	4.91712	3.22151	3.94406	7.17427	3.65115	5.00956	7.322	6.5559
Cre01.g003524	5.37268	7.64419	6.81727	4.50636	7.22112	6.17936	5.22362	9.32586
Cre01.g003550	10.236	11.4134	18.0896	11.1872	14.6439	17.7663	15.9684	15.4908
Cre01.g003650	7.57367	9.32795	7.92973	7.84372	9.46693	8.61608	8.51536	8.91255
Cre01.g003700	1.37528	1.27163	1.07542	1.14915	0.840455	1.00115	1.18089	1.18936
Cre01.g003751	0.108693	0.414022	0.00816552	0.0798143	0.333273	0.00642333	0.0280579	0.421096
Cre01.g003800	9.0736	10.3367	10.019	10.1266	11.0864	8.29775	5.83978	10.5215
Cre01.g003850	16.7395	13.5929	30.0502	18.132	13.8262	26.4271	47.2357	16.0845
Cre01.g003950	0.179785	0.629337	2.9794	0.14608	0.351975	2.08599	0.497283	0.734718
Cre01.g004000	33.9297	28.572	15.5498	26.9753	23.572	13.8913	38.8676	41.2822
Cre01.g004124	17.2945	13.9184	6.12365	12.1382	13.5241	5.654	12.6536	17.9495
Cre01.g004157	1.61183	8.5542	4.33157	2.13108	10.3765	5.07264	2.24292	9.4859
Cre01.g004200	1.63413	2.36534	2.1608	1.41507	2.19183	2.09221	1.80962	3.02583
Cre01.g004250	85.5614	136.884	98.2466	85.1854	118.289	94.5649	61.666	118.288
Cre01.g004300	153.116	103.327	147.367	173.899	132.833	142.457	171.726	92.7356
Cre01.g004350	11.2828	17.2044	17.161	13.272	23.1345	20.8807	13.7963	16.7728
Cre01.g004400	43.2776	40.5627	35.8608	33.7697	22.8845	30.9088	31.0477	28.2047
Cre01.g004450	190.1	77.922	53.3608	226.512	106.376	52.2525	249.509	79.4272
Cre01.g004500	160.986	128.046	161.092	160.627	144.962	162.617	153.034	101.668
Cre01.g004550	2.99007	5.32784	3.54313	2.57494	4.51866	3.06568	2.91989	6.1902
Cre01.g004600	9.00143	16.0747	13.6917	10.7322	17.5277	16.1437	10.4958	16.9578
Cre01.g004651	8.51794	7.8852	6.8332	8.50626	7.35917	7.67615	6.61194	5.91196
Cre01.g004700	14.1085	4.94667	10.7113	23.2046	4.28657	7.88891	30.3304	3.96384
Cre01.g004750	0.0394708	0.0594917	0.0497728	0.812267	0.229654	0.0255687	4.11891	2.27873
Cre01.g004800	16.8992	24.2723	45.1204	20.0074	29.9529	55.7209	19.0178	17.4808
Cre01.g004850	0.59816	0.41587	0.41323	0.57625	0.470072	0.46556	0.730933	0.575527
Cre01.g004900	7.79484	8.04177	27.8716	8.47073	12.0726	25.5604	6.01496	9.29094
Cre01.g004950	38.9111	50.4178	43.325	37.5158	41.9491	38.6147	35.692	32.3401
Cre01.g005001	12.6465	9.80762	9.70978	11.0892	7.99136	7.94607	12.3648	5.96327
Cre01.g005050	309.892	321.485	245.508	389.836	336.536	276.794	295.364	223.076
Cre01.g005100	3.1341	1.82545	1.12407	2.72006	1.24875	1.07096	2.81829	1.65883
Cre01.g005150	76.3988	114.468	60.2426	109.899	116.624	99.6997	157.644	231.793
Cre01.g005200	1.47768	0.880981	0.720577	1.25698	0.945274	0.629786	1.207	1.44839
Cre01.g005300	0	0.0114164	0	0	0	0	0	0
Cre01.g005400	0.142151	0.344055	0.0529205	0.224651	0.2183	0.0489821	0.130859	0.299726
Cre01.g005450	33.2867	67.007	43.7901	32.5294	50.4136	36.8079	22.0781	50.0652
Cre01.g005500	8.85442	6.845	6.54588	8.54107	6.29708	6.56197	8.05274	5.08806
Cre01.g005543	0	0	0	0	0	0	0	0
Cre01.g005550	20.5205	21.7343	30.0093	17.7758	17.8362	24.9446	20.6043	21.5164
Cre01.g005600	4.45939	5.12162	4.97935	5.0346	4.90227	4.36656	4.66051	4.62609
Cre01.g005651	0.0953428	0.0885609	0.225991	0.145449	0.104069	0.342771	0.222495	0.0147266
Cre01.g005701	2.16259	2.80697	3.0769	1.63124	1.83243	2.98904	1.50449	1.57395
Cre01.g005750	0.0329935	0.0382408	0.0353198	0.0644871	0.0222192	0.0161505	0.0784789	0.0523361
Cre01.g005813	4.38626	3.58802	4.13781	3.91497	3.63886	5.27896	3.01587	3.3648
Cre01.g005850	34.1066	8.05607	17.6784	41.5019	22.8324	44.7272	28.3291	9.48617
Cre01.g005900	7.87519	7.36518	8.03799	8.25332	6.59943	8.48419	7.34513	5.08126
Cre01.g005950	102.156	94.9674	142.918	100.645	125.261	135.32	131.109	106.245
Cre01.g006000	0.892788	1.38311	0.809657	0.784184	1.39677	0.867793	1.1331	3.37197
Cre01.g006050	3.10824	3.20311	2.78385	2.87454	3.18312	2.91294	3.97361	3.69037
Cre01.g006100	6.10822	4.45937	6.41496	6.94722	6.38839	5.3774	8.26905	5.65689
