gene_id,gene_symbol
Cre02.g074600,DESI2
Cre02.g075050,PTA1
Cre02.g075100,TPR3
Cre02.g075150,RPB2
Cre02.g075350,CNK1
Cre02.g075700,RPL19
Cre02.g075850,SNRK2A
Cre02.g075900,SNRK2C
Cre02.g076000,SNRK2K
Cre02.g076250,EFG1
Cre02.g076300,UROD2
Cre02.g076350,ATPVB1
Cre02.g076400,VPS25
Cre02.g076750,NUOFAF1
Cre02.g076800,ERG4
Cre02.g076900,FAP19
Cre02.g077100,GSH1
Cre02.g077150,CPLD14
Cre02.g077300,NOP1
Cre02.g077350,HDH1
Cre02.g077500,TRS23
Cre02.g077600,FAP51
Cre02.g077750,FAP211
Cre02.g077800,FAP310
Cre02.g077850,FAP212
Cre02.g078100,EIF5B1
Cre02.g078300,GPX1
Cre02.g078550,FAP210
Cre02.g078600,RSP8
Cre02.g078858,PSN1
Cre02.g078939,DCRY1
Cre02.g078950,MMP17
Cre02.g078966,FTSH9
Cre02.g079000,POB21
Cre02.g079050,DGTT5
Cre02.g079100,XPA1
Cre02.g079300,VPS4
Cre02.g079600,TSF2
Cre02.g079700,PYR2
Cre02.g079750,HIK1
Cre02.g079800,ASA6
Cre02.g079850,POLK1
Cre02.g080200,TRK1
Cre02.g080250,CGL97
Cre02.g080600,BIP2
Cre02.g080650,HSP90B
Cre02.g080700,BIP1
Cre02.g080850,CYN47
Cre02.g080900,PRX4
Cre02.g081050,FAP24
Cre02.g081450,MRPL25
Cre02.g081600,PFH8
Cre02.g081700,PHC66
Cre02.g082000,AGE1
Cre02.g082300,SUR6
Cre02.g082350,CUTA1
Cre02.g082500,PSAN1
Cre02.g082550,ZEP1
Cre02.g082700,COX15
Cre02.g082750,PSBX1
Cre02.g082825,TSS1
Cre02.g083700,LSP1
Cre02.g083750,ROC75
Cre02.g083800,RHM2
Cre02.g083950,PSRP3
Cre02.g084050,SEC62
Cre02.g084300,COQ5
Cre02.g084350,PAM71
Cre02.g084400,PFH9
Cre02.g084450,PFH10
Cre02.g084500,CGL134
Cre02.g084800,SPO11A
Cre02.g084900,RPAP3
Cre02.g084950,GUK1
Cre02.g085050,PCOP1
Cre02.g085257,CHR2
Cre02.g085450,CPX1
Cre02.g085850,ARS6
Cre02.g085900,IPP1
Cre02.g086000,ARS8
Cre02.g086100,CGL40
Cre02.g086550,CGL122
Cre02.g086650,SMC2
Cre02.g086700,COG7
Cre02.g086887,NUP189
Cre02.g087300,HPR3
Cre02.g087700,APX1
Cre02.g087950,TSM1
Cre02.g088000,POC17
Cre02.g088050,RPP30
Cre02.g088200,RB60
Cre02.g088250,MCT2
Cre02.g088400,DEG1A
Cre02.g088450,CPLD29
Cre02.g088600,ACLB1
Cre02.g088850,RFS2
Cre02.g088900,PRPL1
Cre02.g089100,COPD1
Cre02.g089950,IFT20
Cre02.g090050,FAP170
Cre02.g090150,PAN3
Cre02.g090550,ARS9
Cre02.g090600,NUP43
Cre02.g090650,SEC20
Cre02.g090850,CLPB3
Cre02.g091050,ALAD1
Cre02.g091100,RPL15
Cre02.g091150,SEC24A
Cre02.g091400,CLPB2
Cre02.g091450,MRPS4
Cre02.g091700,RIB72
Cre02.g091900,FAP301
Cre02.g092000,DEG2
Cre02.g092250,FKB42
Cre02.g092350,CYP51G1
Cre02.g092500,UPF1
Cre02.g092550,TPR1
Cre02.g092600,CPX2
Cre02.g092700,FAP45
Cre02.g092750,SSA18
Cre02.g092800,FAP136
Cre02.g092850,DLU1
Cre02.g092900,GUA1
Cre02.g093450,FBA2
Cre02.g093750,NRX2
Cre02.g093800,NRX3
Cre02.g094050,PIGO1
Cre02.g094100,NRX1
Cre02.g094150,HIK2
Cre02.g094300,FUO1
Cre02.g094450,PHC38
Cre02.g095000,PLA2
Cre02.g095070,SRP19
Cre02.g095072,FAP144
Cre02.g095074,VPS11
Cre02.g095092,PSY1
Cre02.g095095,PHC12
Cre02.g095097,FKB17B
Cre02.g095100,CPLD26
Cre02.g095102,VPS5C
Cre02.g095106,PGP1
Cre02.g095110,FAP255
Cre02.g095111,VSR1
Cre02.g095113,TFCE1
Cre02.g095122,FKB16H
Cre02.g095126,DPE2
Cre02.g095137,PFR1
Cre02.g095147,ALG2
Cre02.g095149,FAP143
Cre02.g095350,CGL116
Cre02.g095400,BRIX1
Cre02.g095450,FKB16F
Cre02.g095900,ROC114
Cre02.g096150,MSD1
Cre02.g096300,CCM1
Cre02.g096350,DAO1
Cre02.g096400,NDUFAF7
Cre02.g096900,TIE1
Cre02.g097000,DHP1
Cre02.g097150,AGG5
Cre02.g097400,EIF5A
Cre02.g097650,RPN6
Cre02.g097800,HLA3
Cre02.g097900,AST3
Cre02.g098150,XYK1
Cre02.g098200,CGL103
Cre02.g098450,EIF2G
Cre02.g098850,NTR2
Cre02.g098950,SYP72
Cre02.g099000,SYP71
Cre02.g099150,SNAPA1
Cre02.g099500,CVL1
Cre02.g099850,PDC2
Cre02.g100000,RFA2
Cre02.g100200,NUOP3
Cre02.g101000,URK1
Cre02.g101350,RPL10A
Cre02.g101400,CHC1
Cre02.g101500,MRS1
Cre02.g101800,ARFB1
Cre02.g101950,TMU2
Cre02.g102050,FAP328
Cre02.g102250,RPS3
Cre02.g102350,ATG3
Cre02.g102400,RPC1
Cre02.g102500,RAD51C
Cre02.g102800,RPB8
Cre02.g103400,OPR118
Cre02.g103550,EIF1A
Cre02.g103850,HIS3
Cre02.g103950,MIA1
Cre02.g104350,PDI5
Cre02.g104500,CDJ4
Cre02.g104800,HTV1
Cre02.g104900,FAP204
Cre02.g105300,FAP231
Cre02.g105400,CDC14
Cre02.g105450,CGL141
Cre02.g105500,AOD1
Cre02.g105600,EYE3
Cre02.g105650,LPA2
Cre02.g105950,FAP174
Cre02.g106150,CYN18A
Cre02.g106350,CGL68
Cre02.g106400,PDAT1
Cre02.g106500,DIPP1
Cre02.g106600,RPS19
Cre02.g106650,CDPK7
Cre02.g106700,OPR4
Cre02.g106750,MRPS9
Cre02.g106850,TPR6
Cre02.g107050,DHC5
Cre02.g107300,DPS1
Cre02.g107350,DHC4
Cre02.g107450,ATS2
Cre02.g107550,CVL2
Cre02.g107600,CGL118
Cre02.g107750,PCD1
Cre02.g107800,CNK9
Cre02.g107850,MOB1
Cre02.g108200,CGL80
Cre02.g108400,DAD1
Cre02.g108450,FAP280
Cre02.g108550,AOC3
Cre02.g108800,TPR10
Cre02.g108850,PRPL17
Cre02.g108950,LF1
Cre02.g109050,OPR5
Cre02.g109200,OPR123
Cre02.g109550,HSD1
Cre02.g109650,GSP1
Cre02.g109800,CPLD32
Cre02.g109850,PIGC1
Cre02.g109950,OHP1
Cre02.g110250,PCD2
Cre02.g110600,DEG5
Cre02.g110750,LHCB7
Cre02.g110800,NRT2F
Cre02.g110950,DIC5
Cre02.g111000,RRA1
Cre02.g111050,AMT1G
Cre02.g111450,TEF4
Cre02.g111650,CGL8
Cre02.g112100,FAP101
Cre02.g112200,TRP22
Cre02.g112250,CAL2
Cre02.g112300,MOT15
Cre02.g112850,COQ6
Cre02.g113200,GLN1
Cre02.g113300,OPR6
Cre02.g113400,PACRG1
Cre02.g113850,PBGD2
Cre02.g114250,MEN2
Cre02.g114400,LAS2
Cre02.g114600,PRX2
Cre02.g114700,RSP12
Cre02.g114750,CDPK4
Cre02.g115050,RSEP3
Cre02.g115200,RPL27A
Cre02.g115250,POC1
Cre02.g115600,MSC7
Cre02.g115650,FBA4
Cre02.g116400,FAP120
Cre02.g116450,RPE2
Cre02.g116750,ATP1A
Cre02.g116950,HDA1
Cre02.g117350,MOT11
Cre02.g117500,HXK1
Cre02.g118000,PHR2
Cre02.g118050,CYCU1
Cre02.g118400,ZCP2
Cre02.g118500,COPB2
Cre02.g118600,FTSZ1
Cre02.g118650,PHC47
Cre02.g118750,POB17
Cre02.g118900,MYG1
Cre02.g118950,PRPS17
Cre02.g119000,PEX19
Cre02.g119550,NIP1
Cre02.g119600,PSD1
Cre02.g120100,RBCS1
Cre02.g120150,RBCS2
Cre02.g120250,STT7
Cre02.g120301,SELH1
Cre02.g141000,DCL1
Cre02.g141050,AGO1
Cre02.g141100,CPL23
Cre02.g141200,NIC2
Cre02.g141350,DRC10
Cre02.g141400,PCK1
Cre02.g141450,UBC14
Cre02.g141606,DHC9
Cre02.g141626,PRMT7
Cre02.g141700,FAP315
Cre02.g141846,DMC1
Cre02.g141950,MOT19
Cre02.g142000,SCE1
Cre02.g142126,FAP115
